FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7e1,5983828,POINT (16.43803193030819 48.26992835918394),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7e0,5983829,POINT (16.388835930916507 48.26681570061081),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7df,5983830,POINT (16.455934595092508 48.276751593738084),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7de,5983831,POINT (16.445088079982927 48.27166098196666),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7dd,5983832,POINT (16.382567157426568 48.27757894939265),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7dc,5983833,POINT (16.398782564370507 48.252485793134724),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7db,5983834,POINT (16.347986255475107 48.231656303871446),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7da,5983835,POINT (16.359297667897305 48.21186116956079),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d9,5983836,POINT (16.35978095476669 48.21095251363764),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d8,5983837,POINT (16.359535533739965 48.21011319550378),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d7,5983838,POINT (16.35941786838382 48.210224661541375),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d6,5983839,POINT (16.27905174301348 48.2063709187178),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d5,5983840,POINT (16.330653637054464 48.245927343284805),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d4,5983841,POINT (16.31293505798207 48.18781816978742),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d3,5983842,POINT (16.497379623258052 48.22510637189053),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d2,5983843,POINT (16.497729149655232 48.2260754816986),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d1,5983844,POINT (16.500395282039516 48.227031807145046),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d0,5983845,POINT (16.504727946556585 48.22702278634656),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cf,5983846,POINT (16.506262241851292 48.22631842847631),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ce,5983847,POINT (16.41721592970037 48.23116171871486),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cd,5983848,POINT (16.424698889804745 48.22589792101286),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cc,5983849,POINT (16.449859233731615 48.2317513790137),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cb,5983850,POINT (16.4494446595626 48.23680257077867),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ca,5983851,POINT (16.45317247466082 48.23757306093193),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c9,5983852,POINT (16.345579802783057 48.211250393182034),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c8,5983853,POINT (16.35121752000203 48.20747002659469),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c7,5983854,POINT (16.33036368189428 48.22321009053155),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c6,5983855,POINT (16.41721872602391 48.199186545698915),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c5,5983856,POINT (16.441679242281104 48.192553303785886),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c4,5983857,POINT (16.358339963824918 48.22639354602322),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c3,5983858,POINT (16.358332766513556 48.22641687934897),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c2,5983859,POINT (16.358806496352813 48.21473535863297),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c1,5983860,POINT (16.36007611230233 48.21570835888811),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c0,5983861,POINT (16.358721979692852 48.22345890705496),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bf,5983862,POINT (16.491684669302032 48.247574605620315),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7be,5983863,POINT (16.491974377729385 48.24829673016462),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bd,5983864,POINT (16.491547738451615 48.247490751485344),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bc,5983865,POINT (16.35368444647866 48.2211448402545),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bb,5983866,POINT (16.37923869430042 48.20281600432218),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ba,5983867,POINT (16.396161953991264 48.208019553578836),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b9,5983868,POINT (16.382649770552774 48.19972079191355),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b8,5983869,POINT (16.38751228797904 48.206053069730466),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b7,5983870,POINT (16.39096702583371 48.19830113188354),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b6,5983871,POINT (16.39239168255421 48.19848687330712),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b5,5983872,POINT (16.33468966996237 48.18448111872554),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b4,5984008,POINT (16.34249240037231 48.212233168085596),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b3,5984009,POINT (16.402384291680903 48.225698677492566),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b2,5984010,POINT (16.318876273002008 48.188855928363566),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b1,5984011,POINT (16.386431894041806 48.29153438884198),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b0,5984012,POINT (16.40143828481307 48.18245425400302),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7af,5984013,POINT (16.309014439561448 48.24089841671307),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ae,5984014,POINT (16.316917773160267 48.188754467909796),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ad,5984015,POINT (16.30735621453737 48.2417695164594),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ac,5984016,POINT (16.35064464191193 48.18612549291061),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ab,5984017,POINT (16.329963624654855 48.234439596051494),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7aa,5984018,POINT (16.309327345801076 48.24122502663236),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a9,5984019,POINT (16.3917112246878 48.28950022680034),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a8,5984020,POINT (16.39164718119968 48.289323825846076),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a7,5984021,POINT (16.398780897933307 48.191150346987286),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a6,5984022,POINT (16.38891770809092 48.20245002262979),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a5,5984023,POINT (16.439047210815787 48.23174232323592),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a4,5984024,POINT (16.332711167872095 48.18927546753499),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a3,5984025,POINT (16.47772180278184 48.253759760158026),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a2,5984026,POINT (16.47730426179697 48.25273949235525),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a1,5984027,POINT (16.315415610540324 48.20414954328505),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a0,5984028,POINT (16.315450019523407 48.20413460453633),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79f,5984040,POINT (16.323761907509123 48.19137135616855),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79e,5984041,POINT (16.356821569546987 48.2047787635834),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79d,5984042,POINT (16.37845263256051 48.18125585635679),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79c,5984043,POINT (16.35663438666608 48.19035633716612),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79b,5984044,POINT (16.412367207876567 48.230214929234556),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79a,5984045,POINT (16.32711445015732 48.19644326953802),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-799,5984046,POINT (16.353602728940672 48.23641521337637),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-798,5984048,POINT (16.48528574976225 48.23642906426534),Trinkhydrant,10,
