FID,OBJECTID,SHAPE,WC_ID,BEZIRK,STRASSE,ORTSANGABE,AKTIV,AKTIV_TXT,OEFFNUNGSZEIT,EINSCHRAENKUNGEN,PERSONALBETREUUNG,KATEGORIE,AUSSTATTUNG,ICON,ICON_TXT,KONTAKT,ABTEILUNG,INFORMATION,SE_ANNO_CAD_DATA
WCANLAGE2OGD.616574,616574,POINT (16.411219953536573 48.18168969489327),M48_0068,11,Hybler-Park / Pachmayergasse,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,barrierefrei 1; Pissoir; Herren 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616575,616575,POINT (16.333597912252372 48.20921535561561),M48_0096,16,Hofferplatz / Thaliastraße,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616576,616576,POINT (16.308932587240754 48.21285891520632),M48_0101,16,Stillfriedplatz,Thaliastraße/Ecke Roseggergasse,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616577,616577,POINT (16.3358002455254 48.21330507463868),M48_0102,16,Yppenplatz,,-1,JA,00:00-24:00 Uhr,Sonn- und Feiertag geschlossen,Mo-Sa: 6:00-19:30 Uhr,Unisex 1; barrierefrei 2; Damen 1 Herren 1,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten, Euro Key",B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616578,616578,POINT (16.334629219980517 48.22146945703902),M48_0107,17,Dornerplatz,ggü. ONr. 9,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616579,616579,POINT (16.33698316961091 48.22337481110489),M48_0114,18,Johann-Nepomuk-Vogel-Platz,Markt,-1,JA,06:00-23:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616580,616580,POINT (16.32120293902325 48.26407031113531),M48_0120,19,Am Cobenzl,Parkplatz bei Bushaltestelle 38A,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616581,616581,POINT (16.3448341962679 48.278615488620055),M48_0749,19,Leopoldsberg,Endstelle Linie 38A,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,barrierefrei 1; Pissoir,keine,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616582,616582,POINT (16.355606780844546 48.206531739844955),M48_0047,7,Weghuberpark,Museumstraße ggü. Justizpalast,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 2; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616583,616583,POINT (16.33448338372413 48.20573187449323),M48_0099,16,Ludo-Hartmann-Platz / Brunnengasse,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
